Tenure,Monthly Charges,Device Protection,Streaming TV,Tech Support,Internet Service,Online Security,Streaming Movies,Online Backup,Payment Method,Churn
62,101.15,No,Yes,No,Fiber optic,Yes,Yes,No,Bank transfer (automatic),No
55,56.8,No,No,Yes,DSL,Yes,No,Yes,Mailed check,No
71,99.4,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Electronic check,No
72,20.1,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
36,60.7,Yes,Yes,Yes,DSL,Yes,Yes,No,Credit card (automatic),No
25,20.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
72,114.85,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Bank transfer (automatic),No
36,19.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
1,62.8,No,Yes,No,DSL,No,Yes,No,Mailed check,No
72,105.5,Yes,Yes,No,Fiber optic,Yes,Yes,No,Electronic check,No
59,19.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
7,89.5,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
1,74.1,Yes,Yes,Yes,DSL,No,Yes,No,Credit card (automatic),No
30,107.5,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Electronic check,No
64,19.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
63,68.8,Yes,No,Yes,DSL,Yes,No,Yes,Bank transfer (automatic),No
72,84.45,Yes,Yes,No,DSL,Yes,Yes,Yes,Credit card (automatic),No
8,75.0,No,No,No,Fiber optic,Yes,No,No,Electronic check,Yes
62,84.5,Yes,Yes,Yes,DSL,No,Yes,Yes,Bank transfer (automatic),No
67,111.2,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
6,44.75,No,No,No,DSL,No,No,No,Electronic check,Yes
70,80.6,No,Yes,Yes,DSL,Yes,Yes,No,Bank transfer (automatic),No
20,80.7,No,Yes,No,Fiber optic,No,No,No,Bank transfer (automatic),No
5,75.6,No,No,No,Fiber optic,No,No,No,Electronic check,No
24,57.6,Yes,Yes,No,DSL,Yes,Yes,Yes,Electronic check,No
11,44.05,No,No,No,DSL,No,No,No,Electronic check,Yes
72,110.6,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Credit card (automatic),No
66,58.2,No,No,Yes,DSL,Yes,No,Yes,Credit card (automatic),No
45,81.0,Yes,Yes,Yes,DSL,Yes,Yes,No,Mailed check,No
69,19.7,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
15,85.6,No,No,No,Fiber optic,No,Yes,No,Bank transfer (automatic),Yes
28,59.55,Yes,Yes,No,DSL,No,No,No,Bank transfer (automatic),No
70,115.55,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),Yes
36,75.55,Yes,No,Yes,DSL,Yes,Yes,Yes,Mailed check,No
16,86.6,No,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
18,85.2,No,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
34,97.65,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
42,45.1,Yes,No,No,DSL,No,Yes,Yes,Credit card (automatic),No
48,70.95,No,No,Yes,DSL,Yes,Yes,No,Bank transfer (automatic),No
47,109.55,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Electronic check,Yes
39,89.55,Yes,No,Yes,Fiber optic,No,No,Yes,Electronic check,Yes
11,20.9,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
7,19.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
3,24.6,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
8,66.7,Yes,No,No,DSL,Yes,Yes,No,Electronic check,No
1,19.45,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,Yes
32,94.8,Yes,No,No,Fiber optic,Yes,Yes,Yes,Mailed check,No
60,65.85,Yes,No,Yes,DSL,Yes,No,Yes,Bank transfer (automatic),No
10,19.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
71,24.65,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
4,20.35,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,Yes
1,69.25,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
43,51.25,No,Yes,Yes,DSL,Yes,No,Yes,Bank transfer (automatic),No
59,99.5,Yes,Yes,No,Fiber optic,No,Yes,No,Bank transfer (automatic),Yes
23,54.25,Yes,No,Yes,DSL,No,No,No,Electronic check,No
72,19.4,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
22,56.25,No,No,Yes,DSL,Yes,No,No,Credit card (automatic),No
1,25.15,No,No,No,DSL,No,No,No,Mailed check,No
69,23.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
50,35.4,No,No,Yes,DSL,Yes,No,No,Mailed check,No
1,25.2,No,No,No,DSL,No,No,No,Electronic check,Yes
2,45.0,No,No,No,DSL,No,No,No,Mailed check,Yes
15,75.35,No,No,No,Fiber optic,No,No,Yes,Bank transfer (automatic),No
31,20.4,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
1,20.15,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,Yes
66,105.0,Yes,Yes,No,Fiber optic,No,Yes,Yes,Credit card (automatic),Yes
0,56.05,Yes,Yes,Yes,DSL,Yes,No,Yes,Credit card (automatic),No
3,54.7,No,Yes,No,DSL,No,No,No,Credit card (automatic),Yes
8,20.0,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
64,73.05,Yes,Yes,No,DSL,Yes,Yes,No,Credit card (automatic),No
28,20.5,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
57,100.75,Yes,Yes,No,Fiber optic,No,Yes,No,Credit card (automatic),No
14,87.25,Yes,No,No,Fiber optic,No,Yes,No,Electronic check,Yes
19,19.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
10,79.95,No,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
51,49.65,No,Yes,No,DSL,No,Yes,Yes,Electronic check,No
67,65.65,Yes,No,No,DSL,Yes,No,Yes,Mailed check,No
11,20.45,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
72,60.95,Yes,Yes,Yes,DSL,Yes,Yes,No,Bank transfer (automatic),No
66,20.35,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
18,88.35,No,Yes,Yes,Fiber optic,No,No,No,Electronic check,Yes
9,19.5,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
9,75.2,No,No,No,Fiber optic,No,No,No,Credit card (automatic),No
48,111.45,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Bank transfer (automatic),No
10,70.15,No,No,No,Fiber optic,No,No,No,Mailed check,No
9,94.75,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
13,95.05,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
4,78.45,No,No,No,Fiber optic,No,No,Yes,Electronic check,Yes
4,70.2,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
72,92.0,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Bank transfer (automatic),No
51,85.5,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),No
59,41.05,No,No,No,DSL,No,Yes,Yes,Bank transfer (automatic),Yes
10,85.6,No,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
61,82.15,No,No,No,Fiber optic,No,No,Yes,Electronic check,No
54,84.4,Yes,No,Yes,Fiber optic,Yes,No,No,Electronic check,No
33,60.9,No,No,No,DSL,Yes,No,Yes,Mailed check,No
27,20.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
1,79.2,No,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
23,95.3,No,Yes,No,Fiber optic,No,Yes,Yes,Mailed check,No
1,19.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
45,84.35,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Mailed check,No
39,19.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
5,70.0,Yes,Yes,No,DSL,No,Yes,No,Mailed check,Yes
72,82.3,Yes,Yes,Yes,DSL,Yes,No,Yes,Bank transfer (automatic),No
58,66.8,No,Yes,No,DSL,No,No,Yes,Bank transfer (automatic),No
70,44.6,Yes,No,Yes,DSL,Yes,No,Yes,Bank transfer (automatic),No
61,98.45,No,Yes,Yes,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
2,70.7,No,No,No,Fiber optic,No,No,No,Mailed check,No
46,24.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
1,49.95,No,No,No,DSL,No,No,No,Bank transfer (automatic),Yes
22,69.25,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
48,102.5,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Credit card (automatic),No
64,86.55,Yes,Yes,Yes,DSL,No,Yes,Yes,Credit card (automatic),No
72,24.3,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
12,58.35,Yes,Yes,No,DSL,No,No,No,Credit card (automatic),No
34,94.25,Yes,No,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
72,68.75,Yes,No,No,DSL,Yes,Yes,Yes,Credit card (automatic),No
29,85.8,Yes,No,No,Fiber optic,No,No,Yes,Electronic check,No
33,20.1,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
1,20.35,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
62,110.8,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Electronic check,No
41,73.0,Yes,Yes,No,DSL,No,Yes,No,Electronic check,Yes
64,100.05,Yes,Yes,No,Fiber optic,No,Yes,No,Credit card (automatic),Yes
4,82.85,Yes,No,No,Fiber optic,No,Yes,No,Credit card (automatic),No
24,84.35,No,No,Yes,Fiber optic,Yes,No,No,Electronic check,No
14,19.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
3,19.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
4,99.8,Yes,Yes,No,Fiber optic,No,Yes,Yes,Credit card (automatic),Yes
18,35.0,No,No,No,DSL,No,Yes,No,Electronic check,Yes
8,66.25,No,Yes,No,DSL,No,Yes,No,Electronic check,No
35,23.3,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
1,76.0,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
66,25.3,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
8,44.55,No,No,Yes,DSL,Yes,Yes,No,Mailed check,No
71,104.1,Yes,Yes,No,Fiber optic,Yes,Yes,No,Credit card (automatic),No
43,92.55,Yes,No,No,Fiber optic,No,Yes,No,Bank transfer (automatic),No
2,93.85,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
29,101.45,Yes,Yes,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
15,84.3,Yes,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
65,94.55,Yes,No,Yes,Fiber optic,Yes,No,Yes,Credit card (automatic),No
35,95.5,Yes,Yes,Yes,Fiber optic,No,No,No,Electronic check,No
64,100.3,No,Yes,No,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
58,55.5,Yes,Yes,Yes,DSL,No,Yes,No,Credit card (automatic),No
18,49.85,No,No,No,DSL,No,No,Yes,Credit card (automatic),No
67,89.55,No,No,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
63,19.15,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
60,99.8,No,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,No
9,84.4,No,No,No,Fiber optic,No,Yes,No,Credit card (automatic),Yes
70,113.05,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
15,101.1,Yes,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
48,19.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
12,74.15,Yes,Yes,Yes,DSL,No,Yes,No,Electronic check,No
71,92.0,Yes,No,Yes,Fiber optic,Yes,No,Yes,Electronic check,No
44,73.85,Yes,No,No,Fiber optic,No,No,No,Electronic check,No
1,50.45,No,No,No,DSL,No,No,No,Electronic check,Yes
45,24.45,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
23,24.8,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
43,64.85,No,Yes,Yes,DSL,No,No,No,Bank transfer (automatic),No
35,20.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
9,68.95,No,Yes,Yes,DSL,Yes,No,Yes,Mailed check,No
12,99.95,No,Yes,Yes,Fiber optic,No,Yes,No,Mailed check,Yes
65,109.4,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
2,91.4,Yes,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
27,49.0,No,No,No,DSL,No,No,No,Mailed check,No
40,50.25,Yes,No,No,DSL,No,No,No,Mailed check,No
5,75.55,Yes,No,No,Fiber optic,No,No,No,Credit card (automatic),Yes
8,19.9,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
58,97.8,No,Yes,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
52,100.3,Yes,Yes,No,Fiber optic,Yes,Yes,No,Electronic check,No
3,55.8,Yes,No,Yes,DSL,No,No,No,Mailed check,No
41,111.15,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Electronic check,No
20,98.55,No,Yes,Yes,Fiber optic,No,Yes,No,Mailed check,No
1,50.05,No,No,No,DSL,No,No,No,Electronic check,No
4,80.8,No,No,Yes,Fiber optic,No,No,No,Credit card (automatic),Yes
23,20.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
6,19.5,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
8,19.35,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
18,69.5,Yes,Yes,No,DSL,Yes,No,No,Mailed check,No
52,48.8,No,Yes,No,DSL,Yes,Yes,No,Credit card (automatic),No
31,94.5,No,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,No
29,20.65,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
36,106.05,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
16,100.0,No,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
42,108.3,Yes,Yes,Yes,Fiber optic,No,Yes,No,Electronic check,No
1,20.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,Yes
60,99.65,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,No
5,85.3,Yes,No,No,Fiber optic,No,No,Yes,Electronic check,Yes
22,95.9,No,Yes,Yes,Fiber optic,Yes,No,No,Credit card (automatic),No
36,20.0,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
4,70.4,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
9,64.95,No,No,Yes,DSL,Yes,Yes,No,Mailed check,No
1,74.6,No,No,No,Fiber optic,No,No,Yes,Credit card (automatic),No
12,49.2,No,No,No,DSL,Yes,No,No,Electronic check,No
23,73.75,No,Yes,Yes,DSL,No,Yes,No,Mailed check,No
62,92.3,No,No,No,Fiber optic,Yes,Yes,Yes,Bank transfer (automatic),No
37,98.8,No,Yes,Yes,Fiber optic,No,Yes,No,Bank transfer (automatic),Yes
8,19.2,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
31,88.65,Yes,Yes,No,Fiber optic,No,No,No,Credit card (automatic),No
13,74.4,No,No,No,Fiber optic,No,No,No,Credit card (automatic),Yes
24,98.75,Yes,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
45,95.95,Yes,No,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
69,105.4,No,Yes,Yes,Fiber optic,No,Yes,Yes,Credit card (automatic),No
2,20.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
61,106.0,No,Yes,No,Fiber optic,Yes,Yes,Yes,Electronic check,Yes
41,104.7,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
44,49.05,Yes,Yes,No,DSL,No,Yes,No,Electronic check,No
39,35.55,Yes,No,Yes,DSL,No,No,No,Mailed check,No
72,65.1,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),No
13,96.85,Yes,Yes,No,Fiber optic,No,Yes,No,Electronic check,No
51,69.75,No,No,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),No
71,99.2,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,No
22,96.7,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
2,55.05,No,No,Yes,DSL,No,No,Yes,Credit card (automatic),Yes
56,106.8,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,No
1,51.25,No,No,No,DSL,Yes,No,No,Mailed check,No
23,57.75,No,No,Yes,DSL,Yes,No,Yes,Mailed check,No
66,70.85,Yes,Yes,No,DSL,No,No,Yes,Bank transfer (automatic),No
1,19.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
19,88.2,No,Yes,No,Fiber optic,No,No,Yes,Electronic check,Yes
11,79.5,Yes,No,No,Fiber optic,Yes,No,No,Bank transfer (automatic),No
8,19.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,Yes
52,98.15,Yes,No,No,Fiber optic,Yes,Yes,Yes,Bank transfer (automatic),No
3,20.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
51,79.15,No,No,No,Fiber optic,Yes,No,Yes,Bank transfer (automatic),No
15,75.65,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
64,94.25,Yes,No,No,Fiber optic,No,Yes,Yes,Electronic check,No
37,40.2,Yes,No,No,DSL,No,Yes,No,Credit card (automatic),No
13,19.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
49,55.35,No,No,No,DSL,Yes,No,No,Electronic check,No
45,102.15,Yes,Yes,No,Fiber optic,No,Yes,No,Bank transfer (automatic),No
18,71.1,No,No,No,Fiber optic,No,No,No,Electronic check,No
1,74.7,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
68,54.1,Yes,Yes,No,DSL,Yes,Yes,No,Bank transfer (automatic),No
54,19.65,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
23,88.45,Yes,No,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
17,76.65,Yes,No,No,Fiber optic,No,No,No,Electronic check,Yes
71,80.4,Yes,No,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),No
67,19.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
14,84.8,No,Yes,No,Fiber optic,No,No,No,Electronic check,No
1,25.8,No,No,No,DSL,No,No,No,Mailed check,Yes
63,19.5,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
41,68.6,Yes,No,Yes,DSL,No,Yes,No,Electronic check,No
17,92.6,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,No
56,100.55,No,Yes,No,Fiber optic,Yes,Yes,No,Electronic check,No
5,20.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
2,42.6,No,No,No,DSL,Yes,Yes,Yes,Electronic check,Yes
3,19.6,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
37,67.45,Yes,No,Yes,DSL,Yes,No,Yes,Electronic check,No
29,68.85,Yes,No,No,DSL,Yes,Yes,Yes,Bank transfer (automatic),Yes
8,43.55,No,No,No,DSL,No,No,No,Mailed check,No
63,109.85,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Credit card (automatic),No
7,20.65,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
3,95.4,No,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,No
72,21.0,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
19,56.2,No,No,No,DSL,No,Yes,No,Electronic check,No
59,18.4,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
2,90.0,Yes,No,Yes,Fiber optic,No,Yes,No,Credit card (automatic),Yes
35,25.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
14,19.6,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
14,75.35,Yes,No,No,Fiber optic,No,No,No,Electronic check,Yes
69,19.8,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
7,64.2,No,No,Yes,DSL,Yes,No,Yes,Electronic check,No
69,75.75,Yes,Yes,Yes,DSL,Yes,No,Yes,Bank transfer (automatic),No
72,78.95,No,Yes,Yes,DSL,No,Yes,Yes,Electronic check,No
8,100.85,No,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
4,50.3,No,No,No,DSL,Yes,No,No,Electronic check,No
63,80.3,Yes,No,No,Fiber optic,No,No,Yes,Credit card (automatic),No
72,19.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
46,21.1,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
5,69.95,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
30,50.0,Yes,No,No,DSL,No,No,No,Mailed check,No
63,104.75,Yes,Yes,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),No
60,19.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
63,107.5,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
25,85.9,No,Yes,Yes,Fiber optic,No,No,No,Electronic check,No
1,45.85,No,No,No,DSL,No,No,No,Mailed check,Yes
6,80.8,Yes,No,No,Fiber optic,No,No,No,Electronic check,No
22,25.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
31,80.55,No,Yes,Yes,DSL,No,Yes,Yes,Bank transfer (automatic),No
39,81.5,Yes,No,Yes,Fiber optic,No,No,No,Bank transfer (automatic),No
26,20.9,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
53,106.1,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Bank transfer (automatic),Yes
1,91.7,No,Yes,Yes,Fiber optic,No,No,Yes,Electronic check,Yes
12,67.25,No,No,Yes,DSL,Yes,No,Yes,Electronic check,No
16,95.6,Yes,No,No,Fiber optic,No,Yes,Yes,Credit card (automatic),Yes
2,20.35,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
39,45.05,No,Yes,Yes,DSL,Yes,No,No,Bank transfer (automatic),No
1,74.95,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
7,34.65,No,No,Yes,DSL,Yes,No,No,Mailed check,No
4,69.35,No,No,No,Fiber optic,No,No,No,Electronic check,No
10,95.35,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
55,81.55,Yes,No,No,Fiber optic,No,No,Yes,Electronic check,No
72,75.4,Yes,Yes,No,DSL,No,Yes,Yes,Bank transfer (automatic),No
10,67.8,Yes,Yes,No,DSL,No,Yes,No,Credit card (automatic),No
11,111.4,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Electronic check,No
15,46.3,No,No,No,DSL,No,No,No,Electronic check,No
23,20.4,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
1,20.05,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
3,45.0,No,No,No,DSL,No,No,No,Electronic check,Yes
47,96.1,Yes,No,No,Fiber optic,Yes,Yes,Yes,Electronic check,No
15,19.65,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
66,99.5,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
68,60.65,Yes,No,Yes,DSL,No,No,Yes,Bank transfer (automatic),No
17,98.6,Yes,Yes,Yes,Fiber optic,No,Yes,No,Bank transfer (automatic),Yes
7,59.5,No,Yes,Yes,DSL,No,No,No,Mailed check,Yes
12,80.45,No,No,No,Fiber optic,No,Yes,No,Electronic check,Yes
21,71.7,Yes,No,No,DSL,No,Yes,Yes,Bank transfer (automatic),No
21,36.0,No,No,Yes,DSL,No,No,Yes,Mailed check,No
56,65.2,No,Yes,No,DSL,Yes,No,No,Bank transfer (automatic),No
6,48.95,No,No,No,DSL,No,No,No,Credit card (automatic),No
65,53.5,Yes,Yes,No,DSL,No,Yes,Yes,Bank transfer (automatic),No
42,80.45,No,Yes,Yes,DSL,Yes,Yes,No,Credit card (automatic),No
68,109.05,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Bank transfer (automatic),No
48,26.3,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
50,106.8,No,Yes,Yes,Fiber optic,No,Yes,Yes,Electronic check,No
7,64.95,Yes,Yes,No,DSL,No,No,Yes,Electronic check,No
63,19.35,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
17,21.1,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
42,77.95,No,Yes,No,Fiber optic,No,No,No,Credit card (automatic),Yes
4,18.85,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
62,26.0,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
2,74.7,No,No,No,Fiber optic,No,No,Yes,Electronic check,Yes
2,70.35,No,No,No,Fiber optic,No,No,No,Electronic check,No
48,96.9,Yes,Yes,No,Fiber optic,Yes,No,Yes,Bank transfer (automatic),No
27,19.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
70,80.4,Yes,Yes,Yes,DSL,No,Yes,Yes,Bank transfer (automatic),No
1,88.8,Yes,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
46,94.65,Yes,Yes,No,Fiber optic,No,No,Yes,Electronic check,No
30,90.25,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
15,64.65,No,No,No,DSL,Yes,Yes,No,Bank transfer (automatic),Yes
69,95.75,Yes,Yes,No,Fiber optic,No,No,Yes,Credit card (automatic),No
65,19.55,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
72,104.1,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Credit card (automatic),No
13,89.05,No,No,Yes,Fiber optic,No,Yes,Yes,Bank transfer (automatic),Yes
17,20.1,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
